店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
よし寿司 上野店,050-5485-3095,,東京都,台東区上野,6-7-8,南大門上野駅前ビル,https://r.gnavi.co.jp/gd7t600/?sc_lid=r-r_display01&sc_dsp=shop_210634,True
シュラスコ＆ビアバーゴッチバッタ 上野,050-5488-1988,,東京都,台東区上野,4-9-6,ナガフジビル7F,https://r.gnavi.co.jp/m7fcts0n0000/?sc_lid=r-r_display01&sc_dsp=shop_210561,True
博多料理と野菜巻き 個室居酒屋 なまいき 上野店,050-5486-7251,,東京都,台東区上野,4-8-6,プラザUビル4F,https://r.gnavi.co.jp/knecv7kx0000/?sc_lid=r-r_display01&sc_dsp=shop_210994,True
完全個室 ゴルフバー リアルゴルフ,050-5487-3917,,東京都,台東区東上野,2-20-12,プラザUビル4F,https://r.gnavi.co.jp/enh3seax0000/?sc_lid=r-r_display01&sc_dsp=shop_210360,True
プロースト東京 ソーセージ＆燻製バル 上野店,050-5485-5771,,東京都,台東区上野,2-1-9,VORT上野広小路6F,https://r.gnavi.co.jp/dg55wu8d0000/?sc_lid=r-r_display01&sc_dsp=shop_210412,True
火鍋・しゃぶしゃぶ 食べ放題 熊猫火鍋 上野店,050-5493-5832,,東京都,台東区上野,4-6-9,パサージュビル1～2F,https://r.gnavi.co.jp/5w42fxe20000/?sc_lid=r-r_display01&sc_dsp=shop_211915,True
食べ飲み放題全220種類 馬さん餃子酒場 上野店,050-5488-8388,,東京都,台東区上野,6-7-2,2F,https://r.gnavi.co.jp/3dp24xrn0000/?sc_lid=r-r_display01&sc_dsp=shop_210545,True
【2000円～全品食べ飲み放題 居酒屋】均タロー！上野店,050-5488-4429,,東京都,台東区上野,4-9-6,ナガフジビルB1,https://r.gnavi.co.jp/j2axvwh20000/?sc_lid=r-r_display01&sc_dsp=shop_212168,True
全席個室　焼き鳥　地鶏坊主　上野店　3時間飲み放題,050-5492-3363,,東京都,台東区上野,6-8-8,POKKEビル4F,https://r.gnavi.co.jp/dpf9szh90000/?sc_lid=r-r_display01&sc_dsp=shop_212385,True
全席完全個室居酒屋 京の利久 上野店,050-5487-8147,,東京都,台東区上野,7-2-1,南大門上野駅前ビル,https://r.gnavi.co.jp/bm9z23pe0000/?sc_lid=r-r_display01&sc_dsp=shop_211778,True
九州個室居酒屋 博多道場 上野御徒町店,050-5485-8874,,東京都,台東区上野,2-1-9,GAOH黒門ビル3F,https://r.gnavi.co.jp/n9xzm7gx0000/?sc_lid=r-r_display01&sc_dsp=shop_210020,True
完全個室居酒屋 牛タン＆肉寿司食べ放題 奥羽本荘 上野店,050-5494-8729,,東京都,台東区上野,2-12-1,8F,https://r.gnavi.co.jp/axf7c5e10000/?sc_lid=r-r_display01&sc_dsp=shop_212304,True
北京火考鴨店（ペキンカォヤーテン） 北京ダック専門店 上野店,050-5485-4503,,東京都,台東区上野公園,1-57,UENO3153 1F,https://r.gnavi.co.jp/bm0xg9g30000/?sc_lid=r-r_display01&sc_dsp=shop_210739,True
本格中華×個室 四季香（しきこう） 上野店,050-5493-2782,,東京都,台東区上野,4-8-6,プラザUビルB1,https://r.gnavi.co.jp/cya04rfg0000/?sc_lid=r-r_display01&sc_dsp=shop_210513,True
九州個室居酒屋 博多道場 上野御徒町店,050-5485-8874,,東京都,台東区上野,2-1-9,GAOH黒門ビル3F,https://r.gnavi.co.jp/n9xzm7gx0000/?sc_lid=r-r_display01&sc_dsp=shop_210020,True
隠れ家個室 九州料理居酒屋 別邸 ‐Bettei‐ 上野駅前店,050-5486-8291,,東京都,台東区上野公園,1-57,上野公園西郷会館UENO3153 B2,https://r.gnavi.co.jp/bvxhw2py0000/?sc_lid=r-r_display01&sc_dsp=shop_211845,True
完全個室居酒屋 九州蔵 上野駅前店,050-5494-0856,,東京都,台東区上野,7-3-2,tsdビル3F,https://r.gnavi.co.jp/8rx3t25t0000/?sc_lid=r-r_display01&sc_dsp=shop_210429,True
テーブルカット本格シュラスコ食べ放題 ミートハウス 上野店,050-5488-1005,,東京都,台東区上野,2-3-1,ジップビル1F,https://r.gnavi.co.jp/rmas2txd0000/?sc_lid=r-r_display01&sc_dsp=shop_210649,True
焼肉DINING 牛勢（ぎゅうせ） 上野店,050-5486-6301,,東京都,台東区上野,2-12-9,ジップビル1F,https://r.gnavi.co.jp/snv8gzwj0000/?sc_lid=r-r_display01&sc_dsp=shop_211377,True
本格シュラスコ＆グリル食べ放題 グリルハウス 上野アメ横店,050-5484-0618,,東京都,台東区上野,4-3-8,三浦ビル2F,https://r.gnavi.co.jp/1j3v4sxy0000/?sc_lid=r-r_display01&sc_dsp=shop_212527,True
個室居酒屋四季彩 ‐Shikisai‐ 上野駅前店,050-5486-8304,,東京都,台東区上野公園,1-57,上野公園西郷会館UENO3153 B2,https://r.gnavi.co.jp/g0r3hggw0000/?sc_lid=r-r_display01&sc_dsp=shop_211252,True
牛タンと土鍋御飯 完全個室 旬蔵 上野本店,050-5488-7119,,東京都,台東区上野,6-13-2,渡辺上野ビル3F,https://r.gnavi.co.jp/dke2wgzz0000/?sc_lid=r-r_display01&sc_dsp=shop_210817,True
完全個室居酒屋 牛タン＆肉寿司食べ放題 奥羽本荘 上野店,050-5494-8729,,東京都,台東区上野,2-12-1,8F,https://r.gnavi.co.jp/axf7c5e10000/?sc_lid=r-r_display01&sc_dsp=shop_212304,True
かに・海鮮居酒屋 かに新 上野本店,050-5493-8261,,東京都,台東区上野,6-14-6,山田ビル5F,https://r.gnavi.co.jp/a1c5ub9x0000/?sc_lid=r-r_display01&sc_dsp=shop_212590,True
火鍋・しゃぶしゃぶ 食べ放題 熊猫火鍋 上野店,050-5493-5832,,東京都,台東区上野,4-6-9,パサージュビル1～2F,https://r.gnavi.co.jp/5w42fxe20000/?sc_lid=r-r_display01&sc_dsp=shop_211915,True
シュラスコ＆ビアバーゴッチバッタ 上野,050-5488-1988,,東京都,台東区上野,4-9-6,ナガフジビル7F,https://r.gnavi.co.jp/m7fcts0n0000/?sc_lid=r-r_display01&sc_dsp=shop_210561,True
本格シュラスコ＆肉料理食べ放題 ビアバックス 上野店,050-5488-1002,,東京都,台東区上野,2-3-1,ジップビル1F,https://r.gnavi.co.jp/rk7rf37p0000/?sc_lid=r-r_display01&sc_dsp=shop_210648,True
【5月18日OPEN】 旨い焼き鳥と完全個室居酒屋　串ごろ 上野店,050-5486-9244,,東京都,台東区上野,7-2-1,南大門上野駅前ビル7F,https://r.gnavi.co.jp/jn555dek0000/?sc_lid=r-r_display01&sc_dsp=shop_210445,True
焼肉陽山道 上野駅前店,050-5486-7088,,東京都,台東区上野,6-8-16,南大門上野駅前ビル7F,https://r.gnavi.co.jp/a6b9hy9d0000/?sc_lid=r-r_display01&sc_dsp=shop_209483,True
全席個室居酒屋 肴うたげ 上野駅前店,050-5485-4077,,東京都,台東区上野,6-13-8,ソシアルビル4F,https://r.gnavi.co.jp/pfch13k50000/?sc_lid=r-r_display01&sc_dsp=shop_212725,True
完全個室 夜景が見える博多もつ鍋＆炭火焼鳥 あかり 上野店,050-5488-1932,,東京都,台東区上野,2-12-23,上野ユーワンビル6F,https://r.gnavi.co.jp/2auk9en00000/?sc_lid=r-r_display01&sc_dsp=shop_213080,True
地鶏の王様 上野,050-5486-4685,,東京都,台東区上野,6-4-14,上野ユーワンビル6F,https://r.gnavi.co.jp/kjp9xb710000/?sc_lid=r-r_display01&sc_dsp=shop_211775,True
【2000円～全品食べ飲み放題 居酒屋】均タロー！上野店,050-5488-4429,,東京都,台東区上野,4-9-6,ナガフジビルB1,https://r.gnavi.co.jp/j2axvwh20000/?sc_lid=r-r_display01&sc_dsp=shop_212168,True
牛タンと土鍋御飯 完全個室 旬蔵 上野本店,050-5488-7119,,東京都,台東区上野,6-13-2,渡辺上野ビル3F,https://r.gnavi.co.jp/dke2wgzz0000/?sc_lid=r-r_display01&sc_dsp=shop_210817,True
鉄板屋 上野 三代目 圭,050-5484-9101,,東京都,台東区上野,2-11-2,NSテトラビル1F,https://r.gnavi.co.jp/a047104/?sc_lid=r-r_display01&sc_dsp=shop_207723,True
食べ飲み放題全220種類 馬さん餃子酒場 上野店,050-5488-8388,,東京都,台東区上野,6-7-2,2F,https://r.gnavi.co.jp/3dp24xrn0000/?sc_lid=r-r_display01&sc_dsp=shop_210545,True
九州個室居酒屋 博多道場 上野御徒町店,050-5485-8874,,東京都,台東区上野,2-1-9,GAOH黒門ビル3F,https://r.gnavi.co.jp/n9xzm7gx0000/?sc_lid=r-r_display01&sc_dsp=shop_210020,True
大衆居酒屋 とりいちず 上野駅前店,050-5492-1603,,東京都,台東区上野,6-13-8,GAOH黒門ビル3F,https://r.gnavi.co.jp/dyz4p8wj0000/?sc_lid=r-r_display01&sc_dsp=shop_210582,True
焼肉DINING 牛勢（ぎゅうせ） 上野店,050-5486-6301,,東京都,台東区上野,2-12-9,GAOH黒門ビル3F,https://r.gnavi.co.jp/snv8gzwj0000/?sc_lid=r-r_display01&sc_dsp=shop_211377,True
上野アメ横のひもの屋 上野アメ横店,050-5494-2270,,東京都,台東区上野,4-6-9,大徳ビルB1,https://r.gnavi.co.jp/bzfef7t00000/?sc_lid=r-r_display01&sc_dsp=shop_210941,True
