製品大カテゴリ(業界大カテゴリ),製品中カテゴリ(業界中カテゴリ),企業名,企業ページ,扱っている製品などの会社説明,住所,製品カテゴリページURL（=製品中カテゴリページ）,企業サイトURL,企業問い合わせURL
製造業界,製造業界,ＴＨＫ株式会社,https://baseconnect.in/companies/315b2b7e-b293-4aa6-8a9f-20cd2b6a1edf,工作機械などに使用される動力伝達部品などの製造及び販売を行う会社, 東京都港区芝浦２丁目１２番１０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.thk.com/jp/ja/,https://tech.thk.com/contact2/inquiry.php?r=r&l=ja&_ga=2.243496453.1059313953.1685695079-1921574868.1685695078
製造業界,建設・工事業界,日立造船株式会社,https://baseconnect.in/companies/4b6571d3-5e75-432b-87af-af872a239de5,環境装置やプラントの製造を行う会社, 大阪府大阪市住之江区南港北１丁目７番８９号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.hitachizosen.co.jp/,https://www.hitachizosen.co.jp/contact/
製造業界,自動車・乗り物業界,ビューテック株式会社,https://baseconnect.in/companies/ff1b1b0d-85cd-4a13-8550-4be95486a1b0,自動車用のガラス組付や樹脂部品の製造を手掛ける会社, 愛知県豊田市梅坪町９丁目３０番地３,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.vuteq.co.jp/,https://www.vuteq.co.jp/contact/
製造業界,化学業界,ＤＩＣ株式会社,https://baseconnect.in/companies/caf31539-5d27-40e6-afbe-94a4b0aeb0a3,印刷インキや有機顔料およびコーティング用樹脂の製造・販売などを行う会社, 東京都板橋区坂下３丁目３５番５８号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.dic-global.com/ja/,https://www.dic-global.com/ja/contact/
製造業界,建設・工事業界,株式会社ユアテック,https://baseconnect.in/companies/83602d39-e46f-43cd-b7b0-20aa0ba8dfb0,オフィスビルや工場を対象に電気設備や空調設備を行う会社, 宮城県仙台市宮城野区榴岡４丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.yurtec.co.jp/,
製造業界,その他サービス業界,セントラル警備保障株式会社,https://baseconnect.in/companies/88a4ad8c-6d45-482a-94ed-6ce9b8d7b82b,警備請負サービスの提供およびセキュリティ機器の販売などを行う会社, 東京都新宿区西新宿２丁目４番１号新宿ＮＳビル,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.we-are-csp.co.jp/,https://www.we-are-csp.co.jp/contact/form.php
製造業界,機械業界,株式会社東芝,https://baseconnect.in/companies/a8f6b6e5-30e0-4bf8-9fd5-a2aa325dc6e5,エネルギーやインフラシステム、デジタル領域のソリューションおよび電池事業を行う会社, 東京都港区芝浦１丁目１番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.global.toshiba/jp/top.html,https://www.global.toshiba/jp/contact/corporate.html
製造業界,化学業界,ＤＩＣ株式会社,https://baseconnect.in/companies/64487f6d-fe75-4498-9a7e-6e029a9180b0,グラビアインキなど、印刷関連製品や包装関連製品の製造と卸売を行う会社, 東京都中央区日本橋３丁目７番２０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.dic-global.com/ja/,http://www.dic-global.com/ja/contact/
製造業界,機械業界,イビデン株式会社,https://baseconnect.in/companies/53707179-72b4-4829-99a1-0f8cebfb6add,電子部品やセラミックス製品、建材などの生産・販売を行う会社, 岐阜県大垣市神田町２丁目１番地,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.ibiden.co.jp/,https://www.ibiden.co.jp/utility/
製造業界,製造業界,プランゼージャパン株式会社,https://baseconnect.in/companies/f289f582-5acd-4ead-9a16-510e42ce15d9,高性能モリブデンとタングステンを用いた産業向け製品の製造を行う会社, 東京都港区六本木１丁目９番１０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.plansee.com/ja.html,https://www.plansee.com/ja/%E4%BC%9A%E7%A4%BE%E6%83%85%E5%A0%B1/%E9%80%A3%E7%B5%A1%E5%85%88/%E6%97%A5%E6%9C%AC.html
製造業界,機械業界,グローリー株式会社,https://baseconnect.in/companies/2843a464-0223-4863-bc24-3941401a3055,貨幣処理機や貨幣端末機、自動販売機などの製造・販売・保守を行う会社, 兵庫県姫路市下手野１丁目３番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,http://www.glory.co.jp/,https://form.glory.co.jp/webapp/form/20383_zdeb_27/index.do
製造業界,機械業界,株式会社マキタ,https://baseconnect.in/companies/6815e75d-474e-48fe-88c5-103b07268ef7,電動工具「40Vmax シリーズ」やエア工具、園芸用機器などの製造および販売を手掛ける会社, 愛知県安城市住吉町３丁目１１番８号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.makita.co.jp/,http://www.makita.co.jp/inquiry/index.html
製造業界,製造業界,大同特殊鋼株式会社,https://baseconnect.in/companies/7a5f662d-2f2e-4fb0-bf04-e19fd37e682f,特殊鋼鋼材・冷間塑性加工用ステンレス鋼などの製造や販売を行う会社, 愛知県名古屋市東区東桜１丁目１番１０号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.daido.co.jp/,https://www.daido.co.jp/ask/index.html
製造業界,エネルギー業界,株式会社レゾナック・ホールディングス,https://baseconnect.in/companies/91e80e54-9f46-4437-917f-4ab4acac80ef,石油化学基礎製品や機能性化学品、電子機器材料などの製造販売を行う会社, 東京都港区東新橋１丁目９番１号,https://baseconnect.in/companies/category/56ae3b2a-c8a3-4d47-bcbf-953e6dce505a?page=1,https://www.resonac.com/jp,https://www.resonac.com/jp/inquiry
