店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
肉寿司＆シュラスコ食べ放題ーエルビーノ 池袋店,050-5492-5527,,東京都,豊島区東池袋,1-2-4,コジマビルB2,https://ghkc400.gorp.jp/,True
Wine restaurant The Attachment 池袋店,050-5488-4858,,東京都,豊島区南池袋,1-20-2,翠ビル4F,https://ggp2519.gorp.jp/,True
食べ放題飲み放題 個室居酒屋ー京 池袋東口店,050-5485-4743,,東京都,豊島区南池袋,1-27-8,サンパレスビル7F,https://ghx4501.gorp.jp/,True
旨い焼き鳥と完全個室居酒屋 串ごろ 池袋店,050-5488-1467,,東京都,豊島区南池袋,1-23-1,富士ビル5F,https://gcd1132.gorp.jp/,True
牡蠣と日本酒 四喜ー池袋西口駅前店,050-5484-5373,,東京都,豊島区西池袋,1-13-5,シーガルハウス7F,https://ikebukuro-shiki.com,True
巻き串と笑いのお店 六源ーむげんー 池袋,050-5488-3473,,東京都,豊島区東池袋,1-39-8,第81東京ビルB1,https://ggu2000.gorp.jp/,True
3時間食べ放題×飲み放題 個室肉居酒屋ーDOMO DOMO 池袋東口店,050-5487-5003,,東京都,豊島区東池袋,1-28-4,近代ビル1 5F,https://gj4x700.gorp.jp/,True
池袋ーてしごとや,050-5486-6857,,東京都,豊島区西池袋,1-33-3,岩田ビル1･2F,https://teshigotoyaikebukuro.gorp.jp/,True
鶏と鉄板焼 宮本 Esola池袋店,050-5484-0996,,東京都,豊島区西池袋,1-12-1,Esola池袋7F,https://ghxm300.gorp.jp/,True
2200円食べ飲み放題 個室居酒屋ー楽食 池袋東口店,050-5488-9638,,東京都,豊島区東池袋,1-5-7,LABI1 LIFE SELECT 池袋7F,https://gh04700.gorp.jp/,True
台湾小籠包ールミネ池袋店,050-5489-6066,,東京都,豊島区西池袋,1-11-1,,https://ga4n705.gorp.jp/,True
夜景×和モダン つるや 池袋西口店,050-5484-8666,,東京都,豊島区西池袋,1-13-5,シーガルハウス4F,https://gh96902.gorp.jp/,True
完全個室と食べ放題ー鳥助 池袋店,050-5486-4000,,東京都,豊島区東池袋,1-22-7,6F,https://getz300.gorp.jp/,True
【7／1OPEN】和食個室居酒屋ーゆたかや商店　池袋ヤマダ電気7階,050-5487-4659,,東京都,豊島区東池袋,1-5-7,LABI1LIFE SELECT池袋7F,https://gh04702.gorp.jp/,True
3時間食べ放題×飲み放題 個室肉居酒屋ーDOMO DOMO 池袋東口店,050-5487-5003,,東京都,豊島区東池袋,1-28-4,近代ビル1 5F,https://gj4x700.gorp.jp/,True
黒毛和牛と食べ放題ー炭火焼肉 牛道 池袋本店,050-5487-0691,,東京都,豊島区池袋,2-64-13,,https://gfvd500.gorp.jp/,True
個室居酒屋 連家ーれんかー池袋東口店,050-5485-5518,,東京都,豊島区南池袋,3-13-15,東伸ビルB1,https://b240501.gorp.jp/,True
玉金ーたまきんーー西池袋店,050-5486-3366,,東京都,豊島区西池袋,1-38-3,bーtoss池袋2Ｆ,https://tamakin-nishiikebukuro.gorp.jp/,True
全席個室 焼き鳥と地鶏居酒屋 食べ飲み放題ー鳥天國 池袋本店,050-5488-3890,,東京都,豊島区南池袋,1-20-11,5F,https://gg0v004.gorp.jp/,True
土鍋とおでんの個室居酒屋ーかまくらや 池袋店,050-5488-3851,,東京都,豊島区南池袋,1-27-8,5F,https://gguw300.gorp.jp/,True
くいもの屋わんー池袋西口公園前店,050-5485-6398,,東京都,豊島区西池袋,1-10-8,サングロウビル4F,https://wan-ikebukuronishiguchi.gorp.jp/,True
宴会貸切×生パスタ＆ワインバルービアージョ WACCA池袋店,050-5492-6337,,東京都,豊島区東池袋,1-8-1,WACCA5F,https://b274905.gorp.jp/,True
鉄板Diner JAKENー池袋本店,03-3981-1777,,東京都,豊島区南池袋,3-15-11,内田ビル1F,https://a715700.gorp.jp/,True
九州うまいもんと焼酎ー芋蔵 池袋東口店,050-5485-0353,,東京都,豊島区南池袋,1-23-1,富士ビルディング1・2F,https://g840443.gorp.jp/,True
完全個室居酒屋 九州蔵 池袋店,050-5488-1491,,東京都,豊島区南池袋,1-23-1,富士ビル5F,https://gcd1131.gorp.jp/,True
食べ放題＆飲み放題中華 天府酒家 池袋店,050-5485-8734,,東京都,豊島区南池袋,1-26-2,6F,https://gj1g400.gorp.jp/,True
豊後高田どり酒場ー池袋西口駅前店,03-5950-1988,,東京都,豊島区西池袋,1-36-8,ロマンスビル3F,https://y043436.gorp.jp/,True
完全個室 しゃぶしゃぶとすき焼き 別邸 壽ーkotobukiー,050-5492-0438,,東京都,豊島区池袋,1-1-7,第二伊三美ビルB1,https://ggv2303.gorp.jp/,True
全席個室 銘柄米土鍋と博多おでんーかまくらや 池袋店,050-5488-3857,,東京都,豊島区南池袋,1-27-8,5F,https://gguw302.gorp.jp/,True
漁師の居酒屋 かぶとー池袋店,050-5487-6124,,東京都,豊島区西池袋,1-10-1,ISOビル4F,https://ge73553.gorp.jp/,True
完全個室 本格四川料理 蜀魚記,050-5487-3240,,東京都,豊島区南池袋,1-26-2,近代グループBLD．3号舘7F,https://gj4n200.gorp.jp/,True
貸切専門店＆昼カフェパンケーキ＆かき氷ードープラウンジ池袋,050-5486-2366,,東京都,豊島区東池袋,1-35-3,池袋センタービルB1,https://g904402.gorp.jp/,True
